time,year,month,PF,pop,season1,season2,season3,season4,season5,season6,dpopdt,ERA5,GSOD,IMD,ERA5_RF,GSOD_RF
1997,1997,1,192,2277405.338,0.6667,0.1667,0,0,0,0.1667,0,47.274,44.88,49.358,50.92,47.75357
1997.0833,1997,2,123,2277405.338,0.4792,0.4792,0.0208,0,0,0.0208,0,40.161,39.359,43.45,46.7,43.16082
1997.1667,1997,3,82,2277405.338,0.1667,0.6667,0.1667,0,0,0,0,35.684,37.542,41.374,42.92,42.10206
1997.25,1997,4,71,2277405.338,0.0208,0.4792,0.4792,0.0208,0,0,0,54.158,50.585,55.721,57.9,53.72757
1997.3333,1997,5,60,2277405.338,0,0.1667,0.6667,0.1667,0,0,0,67.024,61.903,68.2,66.67,65.29858
1997.4167,1997,6,122,2277405.338,0,0.0208,0.4792,0.4792,0.0208,0,0,80.883,74.613,82.06,80.88,79.61714
1997.5,1997,7,263,2277405.338,0,0,0.1667,0.6667,0.1667,0,0,85.219,78.883,86.794,85.64,83.75262
1997.5833,1997,8,444,2277405.338,0,0,0.0208,0.4792,0.4792,0.0208,0,85.877,79.765,87.645,87,85.567948
1997.6667,1997,9,772,2277405.338,0,0,0,0.1667,0.6667,0.1667,0,82.352,75.684,83.307,81.99,81.4676
1997.75,1997,10,691,2277405.338,0.0208,0,0,0.0208,0.4792,0.4792,0,57.597,57.351,63.268,62.86,60.25213
1997.8333,1997,11,408,2277405.338,0.1667,0,0,0,0.1667,0.6667,0,58.303,56.778,62.504,62.88,60.37756
1997.9167,1997,12,320,2277405.338,0.4792,0.0208,0,0,0.0208,0.4792,0,64.101,60.134,66.177,66.13,65.10896
1998,1998,1,194,2406827.247,0.6667,0.1667,0,0,0,0.1667,129421.90899999999,49.149,50.958,53.515,54.44,52.60444
1998.0833,1998,2,89,2406827.247,0.4792,0.4792,0.0208,0,0,0.0208,0,45.406,44.071,46.312,47.6,46.94439
1998.1667,1998,3,50,2406827.247,0.1667,0.6667,0.1667,0,0,0,0,44.486,45.787,48.131,49.75,47.42099
1998.25,1998,4,32,2406827.247,0.0208,0.4792,0.4792,0.0208,0,0,0,57.647,56.991,60.284,61.93,59.50089
1998.3333,1998,5,26,2406827.247,0,0.1667,0.6667,0.1667,0,0,0,63.173,61.334,64.456,65.6,62.70195
1998.4167,1998,6,40,2406827.247,0,0.0208,0.4792,0.4792,0.0208,0,0,77.126,69.831,73.325,74.67,71.52738
1998.5,1998,7,70,2406827.247,0,0,0.1667,0.6667,0.1667,0,0,85.124,78.639,82.6,84.04,82.8535
1998.5833,1998,8,221,2406827.247,0,0,0.0208,0.4792,0.4792,0.0208,0,85.402,80.509,84.455,84.76,82.19075
1998.6667,1998,9,727,2406827.247,0,0,0,0.1667,0.6667,0.1667,0,81.558,76.803,80.578,80.91,78.89926
1998.75,1998,10,799,2406827.247,0.0208,0,0,0.0208,0.4792,0.4792,0,70.416,69.389,73.06,73.15,73.10173
1998.8333,1998,11,645,2406827.247,0.1667,0,0,0,0.1667,0.6667,0,52.954,56.22,59.08,60.95,56.05565
1998.9167,1998,12,379,2406827.247,0.4792,0.0208,0,0,0.0208,0.4792,0,41.41,49.066,51.139,51.49,51.128
1999,1999,1,236,2543604.031,0.6667,0.1667,0,0,0,0.1667,136776.78399999999,46.832,51.585,52.183,54.67,51.98705
1999.0833,1999,2,115,2543604.031,0.4792,0.4792,0.0208,0,0,0.0208,0,47.393,52.602,56.366,54.4,55.15783
1999.1667,1999,3,65,2543604.031,0.1667,0.6667,0.1667,0,0,0,0,38.952,45.194,48.471,48.89,46.81808
1999.25,1999,4,75,2543604.031,0.0208,0.4792,0.4792,0.0208,0,0,0,55.277,58.447,62.631,61.35,61.06266
1999.3333,1999,5,95,2543604.031,0,0.1667,0.6667,0.1667,0,0,0,72.729,69.188,73.973,73.85,73.97322
1999.4167,1999,6,196,2543604.031,0,0.0208,0.4792,0.4792,0.0208,0,0,79.521,71.078,75.63,75.86,74.01504
1999.5,1999,7,435,2543604.031,0,0,0.1667,0.6667,0.1667,0,0,84.936,79.765,85.083,85.41,85.567948
1999.5833,1999,8,882,2543604.031,0,0,0.0208,0.4792,0.4792,0.0208,0,84.741,77.874,83.46,83.76,80.13407
1999.6667,1999,9,885,2543604.031,0,0,0,0.1667,0.6667,0.1667,0,80.477,73.968,79.259,77.92,77.64379
1999.75,1999,10,704,2543604.031,0.0208,0,0,0.0208,0.4792,0.4792,0,66.069,67.042,71.759,70.23,69.4108
1999.8333,1999,11,426,2543604.031,0.1667,0,0,0,0.1667,0.6667,0,42.426,48.614,52.073,53.01,51.73182
1999.9167,1999,12,298,2543604.031,0.4792,0.0208,0,0,0.0208,0.4792,0,41.775,46.315,49.648,50.83,48.7645
2000,2000,1,146,2688153.657,0.6667,0.1667,0,0,0,0.1667,144549.62600000016,44.852,47.677,47.759,49.57,50.69705
2000.0833,2000,2,77,2688153.657,0.4792,0.4792,0.0208,0,0,0.0208,0,47.089,45.03,45,48.24,46.3772
2000.1667,2000,3,41,2688153.657,0.1667,0.6667,0.1667,0,0,0,0,43.256,42.733,42.774,47.03,44.42179
2000.25,2000,4,31,2688153.657,0.0208,0.4792,0.4792,0.0208,0,0,0,61.295,60.325,60.379,63.42,61.70921
2000.3333,2000,5,69,2688153.657,0,0.1667,0.6667,0.1667,0,0,0,75.341,74.391,73.778,74.78,74.64625
2000.4167,2000,6,136,2688153.657,0,0.0208,0.4792,0.4792,0.0208,0,0,77.893,74.623,74.762,76.97,76.91688
2000.5,2000,7,420,2688153.657,0,0,0.1667,0.6667,0.1667,0,0,85.007,86.77,86.741,86.24,85.51536
2000.5833,2000,8,643,2688153.657,0,0,0.0208,0.4792,0.4792,0.0208,0,84.192,83.869,83.964,83.57,83.92522
